genre,rel_sub,rel_inf,rel_fus
blues,new orleans blues,,
blues,piano blues,,
blues,soul blues,,
blues rock,boogie rock,,
blues rock,,,blues
blues rock,,,rock
bocet,,,
boduberu,,,
boedra,,,
bogino duu,,,
bolero,filin,,
bolero español,,,
bolero son,,,bolero
bolero son,,,son cubano
bolero-beat,,beat music,
bomba,,,
bomba del chota,,,
bongo flava,,muziki wa dansi,
bongo flava,,taarab,
boogaloo,,,jazz
boogaloo,,,r&b
boogaloo,,,son cubano
boogie,,funk,
boogie,,r&b,
bossa nova,,jazz,
bounce,sissy bounce,,
bouncy techno,,gabber,
bouyon,,,
boyfriend country,,contemporary r&b,
boyfriend country,,soft rock,
brass band,british brass band,,
brass band,dechovka,,
brazilian bass,,deep house,
brazilian bass,,tech house,
brazilian phonk,,beat bruxaria,
brazilian phonk,,phonk house,
brazilian phonk,,funk automotivo,
breakbeat,acid breaks,,
breakbeat,big beat,,
breakbeat,breakbeat hardcore,,
breakbeat,nu skool breaks,,
breakbeat,progressive breaks,,
breakbeat,breakbeat kota,,
breakbeat,florida breaks,,
breakbeat,west coast breaks,,
breakbeat,psybreaks,,
breakbeat,funky breaks,,
breakbeat hardcore,hardcore breaks,,
breakbeat hardcore,darkcore,,
breakbeat hardcore,jungle techno,,
breakbeat kota,,funkot,
breakbeat kota,jungle dutch,,
breakcore,,drum and bass,
breakcore,,jungle,
breakcore,lolicore,,
breakcore,mashcore,,
breakcore,,hardcore techno,
breakcore,raggacore,,
breaks,,,
breakstep,,breakbeat,
breakstep,,nu skool breaks,
breakstep,,techstep,
brega,brega calypso,,
brega,tecnobrega,,
brega calypso,,calypso,
brega calypso,,carimbó,
brega calypso,,lambada,
brega calypso,,ska,
brega funk,,,funk brasileiro
brega funk,,,tecnobrega
brega funk,batidão romântico,,
briddim,,riddim dubstep,
british blues,,chicago blues,
british blues,,electric blues,
british rhythm & blues,,rock,
bro-country,,hip hop,
bro-country,,r&b,
brostep,deathstep,,
brostep,colour bass,,
brostep,riddim dubstep,,
brostep,tearout brostep,,
brostep,,tearout,
brostep,briddim,,
brutal death metal,slam death metal,,
brutal prog,,punk,
bubblegum bass,,pop,
bubblegum dance,,bubblegum pop,
bubbling,,dancehall,
bubbling house,,,bubbling
bubbling house,,,house
buchiage trance,,eurobeat,
budget rock,,rock and roll,
budget rock,,surf rock,
budots,,house,
bullerengue,,,
burger-highlife,,disco,
burger-highlife,,funk,
burmese classical,,chinese classical,
burmese classical,,indian classical,
burmese mono,,,
burmese stereo,,psychedelic,
burning spirits,,heavy metal,
burrakatha,,,
byzantine chant,sticheron,,
byzantine chant,troparion,,
byzantine chant,kontakion,,
bérite club,,baltimore club,
bérite club,,gqom,
bérite club,,grime,
bérite club,,kuduro,
bérite club,,trap edm,
c-pop,cantopop,,
c-pop,mandopop,,
c-pop,zhongguo feng,,
c-pop,gufeng,,
c86,,jangle pop,
c86,,post-punk,
cachaca,,cumbia colombiana,
cachaca,,cumbia mexicana,
cachaca,,grupera,
cadence lypso,,,cadence rampa
cadence lypso,,,calypso
cakewalk,,,
calypso,calipso venezolano,,
campursari,,gamelan,
campus folk,,,
canción melódica,bolero-beat,,
canción melódica,música cebolla,,
candombe beat,,,beat music
candombe beat,,,candombe
cante alentejano,,,
canterbury scene,,jazz fusion,
canterbury scene,,jazz rock,
canto a lo poeta,,,
canto degli alpini,,,
cantoria,repente,,
cantu a chiterra,,,
cantu a tenore,,,
canzone d'autore,,chanson française,
canzone d'autore,,folk,
canzone neomelodica,,,canzone napoletana
canzone neomelodica,,,pop
caporal,,,
carnatic classical,konnakol,,
carnavalito,,,
carranga,,,
celtic,cape breton fiddling,,
celtic,irish folk,,
celtic electronica,,celtic,
celtic metal,,celtic,
celtic new age,,celtic,
celtic punk,,celtic,
celtic rock,,celtic,
central asian throat singing,kai,,
chachachá,,danzón,
chalga,,,dance-pop
chalga,,,folk
chamamé,,schottische,
chamamé,chamamé tropical,,
chamamé tropical,,cumbia,
chamarrita rioplatense,,chamarrita açoriana,
chamber pop,,baroque pop,
changa tuki,,techno,
changa tuki,,tribal house,
change ringing,,,
changjak gugak,,western classical,
changüí,,,
chanson française,chanson réaliste,,
chanson française,chanson à texte,,
chanson française,chanson québécoise,,
chanson québécoise,,folk,
chaozhou xianshi,,,
chap hop,,music hall,
chap hop,,nerdcore,
charanga,,son cubano,
chazzanut,ashkenazi cantorial music,,
chicago blues,acoustic chicago blues,,
chicago bop,,drill,
chicago house,,funk,
chicago house,,italo-disco,
chicago house,,synth-pop,
chicha,,guaracha,
chicha,,huayno,
chicha,,psychedelic rock,
chicha,,salsa,
children's music,lullaby,,
chilena,,cueca,
chillout,,,
chillstep,,downtempo,
chillsynth,,chillwave,
chillsynth,,synthwave,
chimurenga,,,
chinese classical,baisha xiyue,,
chinese classical,chinese opera,,
chinese classical,yayue,,
chinese classical,dongjing,,
chinese classical,nanguan,,
chinese classical,yanyue,,
chinese literati music,,,
chinese opera,beijing opera,,
chinese opera,cantonese opera,,
chinese opera,yue opera,,
chinese opera,korean revolutionary opera,,
chinese opera,henan opera,,
chinese opera,yangzhou opera,,
chinese opera,kunqu,,
chinese opera,sichuan opera,,
chipmunk soul,,soul,
chotis madrileño,,pasodoble,
chotis madrileño,,schottische,
christian rock,xian psych,,
christmas music,,,
church music,anglican chant,,
church music,plainchant,,
church music,byzantine chant,,
church music,zema,,
church music,russian orthodox liturgical music,,
chutney soca,,,chutney
chutney soca,,,soca
chöd,,,
cilokaq,,,
cinematic classical,,modern classical,
cinematic classical,,romantic classical,
city pop,neo-city pop,,
classic ragtime,,western classical,
classical,andalusian classical,,
classical,indian classical,,
classical,western classical,,
classical,islamic modal music,,
classical,persian classical,,
classical,sufiana kalam,,
classical,shashmaqam,,
classical,pìobaireachd,,
classical,guoyue,,
classical,southeast asian classical,,
classical,chinese classical,,
classical,vietnamese classical,,
classical,korean classical,,
classical,japanese classical,,
classical crossover,,western classical,
classical crossover,operatic pop,,
cloud rap,,chillwave,
cloud rap,,southern hip hop,
cloud rap,,witch house,
cocktail nation,,exotica,
cocktail nation,,lounge,
cocktail nation,,swing revival,
coco,embolada,,
coladeira,,morna,
colindă,,,
colour bass,,future bass,
colour bass,,melodic dubstep,
comedy,break-in,,
comedy,prank calls,,
comedy,standup comedy,,
comedy,sketch comedy,,
comedy hip hop,,comedy,
comedy hip hop,chap hop,,
comedy rock,,comedy,
comfy synth,,new age,
compas,,jazz,
compas,,mambo,
compas,,méringue,
comédie-ballet,,ballet de cour,
concert spiritual,,western classical,
concert spiritual,spiritual art song,,
concertina band,,british brass band,
concerto,concerto grosso,,
concerto,concerto for orchestra,,
conducted improvisation,,free improvisation,
conducted improvisation,,free jazz,
congolese rumba,,son cubano,
contemporary christian,praise & worship,,
contemporary christian,,jesus music,
contemporary classical,post-classical,,
contemporary country,neo-traditional country,,
contemporary folk,anti-folk,,
contemporary folk,american primitive guitar,,
contemporary folk,avant-folk,,
contemporary folk,alternative folk,,
contemporary folk,chamber folk,,
contemporary folk,filk,,
contemporary folk,indie folk,,
contemporary folk,neofolk,,
contemporary folk,psychedelic folk,,
contemporary folk,progressive folk,,
contemporary folk,neofolklore,,
contemporary folk,stomp and holler,,
contemporary folk,loner folk,,
contemporary r&b,hip hop soul,,
contemporary r&b,new jack swing,,
contemporary r&b,uk street soul,,
contemporary r&b,alternative r&b,,
contenance angloise,,,
contra,,,
coon song,,minstrelsy,
copla,,cuplé,
copla,,flamenco,
copla cajamarquina,,,
corrido,narcocorrido,,
cosmic country,,psychedelic rock,
country,alternative country,,
country,bluegrass,,
country,bakersfield sound,,
country,country yodeling,,
country,contemporary country,,
country,classic country,,
country,honky tonk,,
country,nashville sound,,
country,progressive country,,
country,red dirt,,
country,texas country,,
country,traditional country,,
country,truck driving country,,
country,western swing,,
country,western,,
country,urban cowboy,,
country and irish,,,country
country and irish,,,irish folk
country blues,piedmont blues,,
country boogie,,boogie-woogie,
country folk,,,contemporary folk
country folk,,,country
country gospel,,gospel,
country pop,bro-country,,
country pop,countrypolitan,,
country pop,,,country
country pop,,,pop
country pop,boyfriend country,,
country rap,,,country
country rap,,,hip hop
country rock,,,country
country rock,,,rock
country rock,cosmic country,,
country soul,,,country
country soul,,,soul
country yodeling,,traditional country,
coupé-décalé,,zouglou,
cowpunk,,country,
cowpunk,,rockabilly,
crack rock steady,,crust punk,
crack rock steady,,hardcore punk,
crossbreed,,,darkstep
crossbreed,,,hardcore techno
crossover thrash,,,hardcore punk
crossover thrash,,,thrash metal
cruise,,amapiano,
cruise,,gqom,
crunkcore,,,crunk
crunkcore,,,edm
crunkcore,,,post-hardcore
crust punk,blackened crust,,
crust punk,neocrust,,
crust punk,stenchcore,,
cubatón,reparto,,
cuddlecore,,garage rock,
cuddlecore,,power pop,
cueca,,zamacueca,
cueca,cueca brava,,
cumbia,cumbia argentina,,
cumbia,cumbia peruana,,
cumbia,cumbia mexicana,,
cumbia,nueva cumbia chilena,,
cumbia,cumbia colombiana,,
cumbia,cumbia chilena,,
cumbia,cumbia salvadoreña,,
cumbia,tecnocumbia,,
cumbia,cachaca,,
cumbia amazónica,,psychedelic rock,
cumbia amazónica,,surf rock,
cumbia argentina,cumbia turra,,
cumbia argentina,cumbia villera,,
cumbia argentina,cumbia santafesina,,
cumbia argentina,cumbia pop,,
cumbia mexicana,cumbia sonidera,,
cumbia mexicana,,rock and roll,
cumbia norteña mexicana,,cumbia mexicana,
cumbia peruana,,psychedelic rock,
cumbia peruana,cumbia amazónica,,
cumbia peruana,chicha,,
cumbia peruana,cumbia sureña peruana,,
cumbia peruana,cumbia norteña peruana,,
cumbia peruana,cumbia sanjuanera,,
cumbia pop,,latin pop,
cumbia salvadoreña,,xuc,
cumbia sanjuanera,,sanjuanito,
cumbia sonidera,cumbia rebajada,,
cumbia turra,,reggaeton,
cumbia villera,,cumbia peruana,
currulao,,,
cururu,,,
cyber metal,,aggrotech,
cyber metal,,ebm,
cyberpunk,,,
d-beat,,anarcho-punk,
d-beat,,metal,
d-beat,raw punk,,
dabke,,,
dance,eurodance,,
dance,eurobeat,,
dance,electro,,
dance-pop,,dance,
dance-pop,,disco,
dance-pop,tecnorumba,,
dance-pop,township bubblegum,,
dance-pop,romanian popcorn,,
dance-punk,,disco,
dance-punk,,funk,
dance-punk,dance-punk revival,,
dance-punk revival,,alternative dance,
dance-punk revival,,edm,
dance-punk revival,,hip hop,
dance-punk revival,,post-punk revival,
dance-rock,,boogie,
dance-rock,,post-punk,
dancehall,ragga,,
dancehall,shatta,,
dancehall,flex dance music,,
dancehall,zess,,
dancehall,gommance,,
dancehall,,deejay,
dancehall,trap dancehall,,
dangdut,koplo,,
dansband,,schlager,
dansband,,swing,
dansktop,,dansband,
dansktop,,schlager,
danzón,,habanera,
dariacore,,future bass,
dariacore,,jersey club,
dariacore,,nightcore,
dark ambient,black ambient,,
dark ambient,ritual ambient,,
dark cabaret,,cabaret,
dark disco,,disco,
dark disco,,ebm,
dark disco,,new beat,
dark electro,aggrotech,,
dark electro,,ebm,
dark folk,,ambient,
dark garage,,drum and bass,
dark garage,,dub,
dark jazz,,dark ambient,
dark psytrance,psycore,,
dark psytrance,hi-tech,,
dark wave,,new wave,
dark wave,,synth-pop,
dark wave,ethereal wave,,
dark wave,neoclassical dark wave,,
dark wave,neue deutsche todeskunst,,
darkcore edm,,gabber,
darkstep,skullstep,,
darksynth,,electro-industrial,
darksynth,,horror synth,
darksynth,,metal,
death 'n' roll,,hard rock,
death 'n' roll,,heavy metal,
death industrial,,dark ambient,
death industrial,,noise,
death industrial,,power electronics,
death metal,brutal death metal,,
death metal,blackened death metal,,
death metal,death 'n' roll,,
death metal,melodic death metal,,
death metal,old school death metal,,
death metal,technical death metal,,
death-doom metal,,death metal,
deathchant hardcore,,breakbeat hardcore,
deathchant hardcore,,gabber,
deathcore,,,death metal
deathcore,,,metalcore
deathgrind,,,death metal
deathgrind,,,grindcore
deathrock,,gothic rock,
deathstep,,metal,
deconstructed club,,post-industrial,
deep soul,,blues,
deep soul,,gospel,
deep tech,,speed garage,
deep tech,,uk garage,
dembow,,dancehall,
dembow,,hip hop,
demostyle,,,
dennery segment,,kuduro,
denpa,,j-pop,
denpa,,synth-pop,
denpa,moe song,,
descarga,,,
desert blues,,,blues rock
desert blues,,,folk
desgarrada,,,
dhaanto,,,
digicore,,edm,
digicore,,trap,
digital cumbia,,,cumbia argentina
digital cumbia,,,electronic
digital fusion,,bit music,
digital fusion,,jazz,
digital hardcore,,,hardcore punk
digital hardcore,,,hardcore techno
dikir barat,,,
dimotiko,,,
disco,boogie,,
disco,,funk,
disco,,philly soul,
disco,euro-disco,,
disco,electro-disco,,
disco,latin disco,,
disco polo,,,dance-pop
disco polo,,,folk
diva house,hardbag,,
dixieland,,blues,
dixieland,,ragtime,
djanba,,,
dobrado,,march,
dohori,,,
doina,,,
dondang sayang,,,
dongzu dage,,,
donosti sound,,twee pop,
doom metal,funeral doom metal,,
doom metal,traditional doom metal,,
doom metal,death-doom metal,,
doomgaze,,doom metal,
doomgaze,,drone metal,
doomgaze,,shoegaze,
doskpop,,italo-disco,
doskpop,,spacesynth,
downtempo,,ambient,
downtempo,trip hop,,
downtempo deathcore,,deathcore,
dream trance,,eurodance,
dream trance,,progressive house,
dreampunk,,ambient,
dreampunk,,progressive electronic,
dreamwave,,ambient,
dreamwave,,dream pop,
drift phonk,,memphis rap,
drill,,footwork,
drill,uk drill,,
drill,jersey drill,,
drill,chicago drill,,
drill,new york drill,,
drill,free car music,,
drill,philly drill,,
drone metal,,dark ambient,
drone metal,,drone,
drone metal,,noise,
drum and bass,dubwise,,
drum and bass,darkstep,,
drum and bass,drumstep,,
drum and bass,drill and bass,,
drum and bass,jungle,,
drum and bass,jump up,,
drum and bass,atmospheric drum and bass,,
drum and bass,jazzstep,,
drum and bass,liquid funk,,
drum and bass,minimal drum and bass,,
drum and bass,neurofunk,,
drum and bass,hardstep,,
drum and bass,techstep,,
drum and bass,trancestep,,
drum and bass,halftime,,
drum and bass,drumfunk,,
drum and bass,dancefloor drum and bass,,
drum and bass,deep drum and bass,,
drum and bass,technoid,,
drumstep,,brostep,
drumstep,,jump up,
dub,novo dub,,
dub poetry,,dub,
dub poetry,,reggae,
dub techno,,dub,
dubstep,brostep,,
dubstep,chillstep,,
dubstep,melodic dubstep,,
dubstep,dungeon sound,,
dubstep,purple sound,,
dubstep,tearout,,
dubstep,,dark garage,
dubstyle,,2-step,
dubstyle,,dubstep,
dubwise,,dub,
dubwise,,reggae,
duma,,,
dungeon chip,,bit music,
dungeon rap,,dungeon synth,
dungeon sound,,darkstep,
dungeon synth,,ambient,
dungeon synth,,black metal,
dungeon synth,dungeon chip,,
dungeon synth,comfy synth,,
dungeon synth,winter synth,,
dungeon synth,keller synth,,
dutch trancecore,,hard trance,
dutch trancecore,,psytrance,
eai,,electroacoustic,
early hardstyle,,hard trance,
eastern-style polka,,big band,
eastern-style polka,,jazz,
eastern-style polka,,swing,
easy listening,exotica,,
easy listening,lounge,,
easy listening,space age pop,,
easy listening,cocktail nation,,
ebm,,electronic,
ebm,,industrial,
ebm,new beat,,
edm,bubblegum bass,,
edm,breakcore,,
edm,bubbling,,
edm,coupé-décalé,,
edm,baltimore club,,
edm,deconstructed club,,
edm,electro latino,,
edm,future rave,,
edm,future bass,,
edm,funkot,,
edm,freestyle,,
edm,footwork,,
edm,grime,,
edm,ghettotech,,
edm,hands up,,
edm,hardcore techno,,
edm,hardstyle,,
edm,jungle terror,,
edm,kuduro,,
edm,lento violento,,
edm,moombahton,,
edm,moombahcore,,
edm,midtempo bass,,
edm,nortec,,
edm,shangaan electro,,
edm,singeli,,
edm,trap edm,,
edm,tribal guarachero,,
edm,techno,,
edm,balani show,,
edm,breakbeat,,
edm,broken beat,,
edm,drum and bass,,
edm,dubstep,,
edm,electroclash,,
edm,house,,
edm,rave,,
edm,trance,,
edm,uk garage,,
edm,uk funky,,
edm,spacesynth,,
edm,budots,,
edm,bérite club,,
edm,artcore,,
edm,nerdcore techno,,
edm,manyao,,
edm,hard drum,,
edm,jersey club,,
edm,footwork jungle,,
edm,philly club,,
edm,hard nrg,,
edm,jumpstyle,,
edm,glitch hop edm,,
edm,cruise,,
edm,dark disco,,
edm,ori deck,,
edm,dariacore,,
edm,aquacrunk,,
edm,hypertechno,,
edm,post-dubstep,,
edm,slimepunk,,
edm,melodic bass,,
edm,neo rave,,
edm,hardtekk,,
edm,toytown techno,,
electric blues,electric texas blues,,
electric blues,swamp blues,,
electric texas blues,,jazz,
electro,skweee,,
electro hop,,house,
electro hop,,southern hip hop,
electro house,complextro,,
electro house,french electro,,
electro house,fidget house,,
electro house,dutch house,,
electro house,melbourne bounce,,
electro latino,,bachata,
electro latino,,merengue,
electro swing,,,electronic
electro swing,,,swing
electro trance,,electro house,
electro trance,,tech trance,
electro-disco,,electronic,
electro-disco,hi-nrg,,
electro-disco,italo-disco,,
electro-disco,space disco,,
electro-disco,red disco,,
electro-industrial,dark electro,,
electro-industrial,,ebm,
electroacoustic,musique concrète,,
electroacoustic,acousmatic,,
electronic,algorave,,
electronic,bit music,,
electronic,experimental electronic,,
electronic,club,,
electronic,chillsynth,,
electronic,horror synth,,
electronic,dungeon synth,,
electronic,drift phonk,,
electronic,downtempo,,
electronic,electronica,,
electronic,edm,,
electronic,futurepop,,
electronic,funktronica,,
electronic,folktronica,,
electronic,flashcore,,
electronic,glitch,,
electronic,hexd,,
electronic,idm,,
electronic,illbient,,
electronic,indietronica,,
electronic,leftfield,,
electronic,minimal wave,,
electronic,microsound,,
electronic,nu jazz,,
electronic,nu disco,,
electronic,nightcore,,
electronic,psybient,,
electronic,progressive electronic,,
electronic,synthwave,,
electronic,seapunk,,
electronic,digital fusion,,
electronic,witch house,,
electronic,wave,,
electronic,vaporwave,,
electronic,moogsploitation,,
electronic,minatory,,
electronic,celtic electronica,,
electronic,black midi,,
electronic,sampledelia,,
electronic,graphical sound,,
electronic,krushclub,,
electronic rock,,,electronic
electronic rock,,,rock
electronicore,,,edm
electronicore,,,metalcore
electropop,,edm,
electropop,,synth-pop,
electropunk,,electronic,
electrotango,,,electronic
electrotango,,,nuevo tango
eletrofunk,,electro house,
emo,emocore,,
emo,midwest emo,,
emo pop,,,emo
emo pop,,,pop punk
emo rap,,,emo
emo rap,,,hip hop
emoviolence,,powerviolence,
english pastoral school,,folk,
enka,,ryūkōka,
epic collage,,deconstructed club,
epic collage,,sound collage,
epic doom metal,,heavy metal,
epic house,,progressive trance,
estrada,,,
ethereal wave,,dream pop,
ethereal wave,,gothic rock,
ethio-jazz,,folk,
euphoric hardstyle,,euro-trance,
euphoric hardstyle,,hands up,
euphoric hardstyle,,melodic trance,
euro-trance,,eurodance,
euro-trance,,hard trance,
eurobeat,,hi-nrg,
eurobeat,,italo-disco,
eurobeat,j-euro,,
eurodance,italo dance,,
eurodance,bubblegum dance,,
exotica,sitarsploitation,,
experimental,reductionism,,
experimental,noise,,
experimental,plunderphonics,,
experimental,sound collage,,
experimental,sound art,,
experimental,tape music,,
experimental,data sonification,,
experimental,conducted improvisation,,
experimental big band,,avant-garde jazz,
experimental electronic,electroacoustic,,
experimental hip hop,industrial hip hop,,
experimental rock,krautrock,,
experimental rock,no wave,,
fado,fado de coimbra,,
fakaseasea,,,
famo,,,
fandango,fandango caiçara,,
fantezi,,,
festival progressive house,,melodic trance,
fidget house,,breakbeat hardcore,
field recording,nature sounds,,
fife and drum blues,,fife and drum,
filin,,vocal jazz,
filipino rondalla,,,
filmi,,,
flamenco,nuevo flamenco,,
flamenco,rumba flamenca,,
flamenco,bulería,,
flamenco jazz,,,jazz
flamenco jazz,,,nuevo flamenco
flamenco pop,,copla,
flamenco pop,,flamenco,
flamenco pop,,rumba flamenca,
flashcore,,idm,
flashcore,,speedcore,
flex dance music,,edm,
florida breaks,,breakbeat hardcore,
florida breaks,,electro,
florida breaks,,house,
florida breaks,,miami bass,
florida breaks,,trance,
folk,appalachian folk,,
folk,bagad,,
folk,contemporary folk,,
folk,celtic,,
folk,neo-medieval folk,,
folk,old-time,,
folk,pagan folk,,
folk,scrumpy and western,,
folk,sutartinės,,
folk,seguidilla,,
folk,sevdalinka,,
folk,sevillanas,,
folk,stornello,,
folk,skiffle,,
folk,tajaraste,,
folk,talking blues,,
folk,tarantella,,
folk,yodeling,,
folk,waulking song,,
folk,visa,,
folk,fife and drum blues,,
folk,falak,,
folk,white voice,,
folk,néo-trad,,
folk,música criolla,,
folk,trampská hudba,,
folk,xuc,,
folk,biraha,,
folk,work song,,
folk,fijiri,,
folk,isa,,
folk,tonada asturiana,,
folk,new mexico music,,
folk,baguala,,
folk,ländlermusik,,
folk,scottish country dance music,,
folk,trikitixa,,
folk,turkish folk,,
folk,hungarian folk,,
folk,drinking song,,
folk,rabbit song,,
folk,nepali lok geet,,
folk,fahrtenlied,,
folk metal,celtic metal,,
folk metal,,folk,
folk metal,medieval metal,,
folk pop,,,contemporary folk
folk pop,,,pop
folk pop,manele,,
folk pop,tallava,,
folk pop,turbo-folk,,
folk punk,celtic punk,,
folk punk,,folk,
folk punk,rustic stomp,,
folk rock,british folk rock,,
folk rock,celtic rock,,
folk rock,,folk,
folk rock,medieval rock,,
folk rock,phleng phuea chiwit,,
folk rock,rock rural,,
folkhop,,bhangra,
folkhop,,hip hop,
folktronica,,folk,
football chant,,,
footwork,,ghetto house,
footwork,,hip hop,
footwork,,juke,
footwork jungle,,,drum and bass
footwork jungle,,,footwork
forest psytrance,,dark psytrance,
forró,forró eletrônico,,
forró,forró universitário,,
forró,,baião,
forró eletrônico,piseiro,,
forró eletrônico,forró de favela,,
forró universitário,,funk,
forró universitário,,rock,
